מספר קורס,שם קורס,"נק""ז",קורסי חובת מעבר,2025 A,2025 B,2024 A,2024 B
37212306,מודלים חישוביים,3.5,"37212051, 37211115",Label Not Found,79.08,Label Not Found,85.81
38212601,מבוא לניתוח נתונים,3.5,"38211111, 37211115",Label Not Found,87.88,Label Not Found,90.73
20311651,פיזיקה מודרנית לתלמידי הנדסת תוכנה,3.5,"20119711, 20119321",Label Not Found,75.0,Label Not Found,79.44
37211117,מערכות הפעלה,3.5,37211021,Label Not Found,84.95,Label Not Found,86.6
38212806,שיטות גרסיה,3.5,"20119321, 37211021, 38212201",Label Not Found,85.83,Label Not Found,88.8
38211201,מודלים סטוכסטיים,3.5,"38211111, 37211021, 20119321",Label Not Found,92.78,Label Not Found,Label Not Found
38213208,מעבדה באיסוף וניהול נתונים,2.0,"38212601, 38213305",82.06,Label Not Found,Label Not Found,89.33
38213203,ויזואליזציה של מידע,3.0,38212601,84.18,Label Not Found,Label Not Found,87.88
38213205,נושאים מתקדמים בלמידה חישובית,4.0,"38212601, 37212051, 38213051",Label Not Found,89.56,Label Not Found,85.68
37214403,ניתוח רשתות חברתיות,3.5,"37212051, 38212601, 38213051",Label Not Found,90.0,88.57,92.83
38214101,למידה עמוקה,4.0,"38212601, 38213051",91.15,Label Not Found,88.56,Label Not Found
38214331,ניתוח סדרות עתיות וכריית תזרימי נתונים,3.5,"38213051, 38212601",85.61,Label Not Found,92.11,Label Not Found
37212303,מימוש מערכות בסיסי נתונים*,3.5,"38213305, 38211111",87.16,Label Not Found,Label Not Found,Label Not Found
38214769,מבוא לעיבוד שפה טבעית,3.5,"37212051, 37211115, 38213051",Label Not Found,89.75,Label Not Found,83.12
38214213,מדעי הנתונים ו atad gib- בתעשייה,2.0,"38213051, 38212601",Label Not Found,97.39,Label Not Found,92.09
20211011,מבוא למדעי המחשב,5.0,,81.56,70.39,73.35,67.42
20215181,עקרונות תכנות מונחה עצמים,3.0,20211011,Label Not Found,84.34,Label Not Found,83.09
20211021,יישומים מתמטיים,1.0,,90.17,97.07,92.83,94.96
37211105,מבוא להנדסת תוכנה,4.0,20211011,Label Not Found,80.57,Label Not Found,85.26
20212031,תכנות מערכות,5.0,"20211011, 20211021",83.4,82.14,85.14,80.5
37213401,ניתוח ועיצוב מערכות להנדסת תוכנה,5.0,"37211105, 20212031",Label Not Found,78.82,Label Not Found,80.81
20213061,מבוא לאימות תוכנה בשיטות פורמאליות,5.0,"20110201, 20212011",Label Not Found,84.53,Label Not Found,90.31
20212081,מעבדה בתכנות מערכות,2.0,20212031,90.88,89.69,91.18,91.98
20213051,יסודות הנדסת תוכנה,3.5,"37213401, 20212031",86.53,Label Not Found,87.21,Label Not Found
20215141,סדנא ליישום פרויקט תוכנה,3.0,"37213401, 20213051",Label Not Found,91.35,Label Not Found,92.92
20210021,מבוא להסתברות,0,,Label Not Found,Label Not Found,Label Not Found,Label Not Found
20211031,מבני נתונים,5.0,20211011,74.23,75.15,79.67,72.59
20212011,מודלים חישוביים,5.0,"20110201, 20211061, 20212041",71.96,69.73,Label Not Found,69.51
20212041,תכנון אלגוריתמים,5.0,"20211031, 20211061, 20210021",74.67,75.37,78.63,71.62
20213021,עקרונות הקומפילציה*,5.0,"20212051, 20212081",82.98,Label Not Found,88.08,Label Not Found
20213081,עקרונות מדעי המחשב*,5.0,"20212011, 20212041, 20112381",77.79,Label Not Found,87.88,Label Not Found
